State,Total,Furniture,Technology,Office Supplies
Wisconsin,2320.43856,,-3222.8658,5543.30436
Washington,21794.16433,6844.776307,10742.61572,4206.7723
Virginia,-2140.35402,179.5725,2482.71488,-4802.6414
Texas,19812.939,-159.209,6597.6285,13374.5195
South Dakota,5403.804,,4603.5489,800.2551
Pennsylvania,9915.6645,1144.3619,2593.0638,6178.2388
Oregon,14144.79908,-375.32008,14558.13408,-38.01492
Ohio,6660.824006,5310.274286,1539.8502,-189.30048
North Carolina,9483.145257,-359.9528783,4299.37268,5543.725455
New York,46529.6026,3178.792744,31315.05476,12035.7551
New Jersey,2.93633,-1011.592262,1043.566992,-29.0384
Minnesota,10430.48928,-82.904,10421.8287,91.56458
Michigan,4891.57004,1034.6047,2653.85514,1203.1102
Massachusetts,11415.4029,1308.0927,6371.5632,3735.747
Maine,5100.181565,5116.836565,-15.737,-0.918
Kentucky,-1801.0734,6.576,997.338,-2804.9874
Kansas,2688.02624,-44.9219,2343.71798,389.23016
Indiana,-918.06576,-348.91576,-367.165,-201.985
Illinois,32737.42076,-631.804,10788.2062,22581.01856
Georgia,640.3414777,959.9484377,92.96456,-412.57152
Florida,265.6565345,-3191.514771,5023.61722,-1566.445915
District of Columbia,25515.48872,4726.27922,6285.5037,14503.7058
Delaware,94.4062,,-22.3772,116.7834
Connecticut,545.7994,,,545.7994
California,22321.13429,10392.96439,4376.533,7551.6369
Arkansas,-1236.518,-2037.14,-1100.274,1900.896
Alabama,1232.1255,-480.89,1146.432,566.5835
